Time (seconds),temp_CPU,light,temp_OUT,moist_lv,year,month,date,hour,min,sec
6482.09,16,0,16,138,2026,2,7,16,41,24
6542.09,16,0,16,139,2026,2,7,16,42,24
6602.09,16,0,16,139,2026,2,7,16,43,24
6662.09,16,0,16,139,2026,2,7,16,44,24
6722.09,16,0,16,139,2026,2,7,16,45,24
6782.09,16,0,16,139,2026,2,7,16,46,24
6842.09,16,0,16,139,2026,2,7,16,47,24
6902.91,16,0,16,139,2026,2,7,16,48,25
6962.09,16,0,16,139,2026,2,7,16,49,24
7022.09,16,0,16,139,2026,2,7,16,50,24
7082.09,16,0,16,139,2026,2,7,16,51,24
7142.09,16,0,16,139,2026,2,7,16,52,24
7202.09,16,0,16,139,2026,2,7,16,53,24
7262.09,16,0,16,140,2026,2,7,16,54,24
7322.09,16,0,16,139,2026,2,7,16,55,24
7382.09,16,0,16,139,2026,2,7,16,56,24
7442.09,16,0,16,140,2026,2,7,16,57,24
7502.09,16,0,16,139,2026,2,7,16,58,24
7562.09,16,0,16,140,2026,2,7,16,59,24
7622.91,16,0,16,140,2026,2,7,17,0,25
7682.09,16,0,16,140,2026,2,7,17,1,24
7742.09,16,0,16,140,2026,2,7,17,2,24
7802.09,16,0,16,140,2026,2,7,17,3,24
7862.09,16,0,16,140,2026,2,7,17,4,24
7922.09,16,0,16,140,2026,2,7,17,5,24
7982.09,16,0,16,140,2026,2,7,17,6,24
8042.09,16,0,16,140,2026,2,7,17,7,24
8102.09,16,0,16,140,2026,2,7,17,8,24
8162.09,16,0,16,140,2026,2,7,17,9,24
8222.09,16,0,16,140,2026,2,7,17,10,24
8282.09,16,0,16,140,2026,2,7,17,11,24
8342.91,16,0,16,140,2026,2,7,17,12,25
8402.09,16,0,16,140,2026,2,7,17,13,24
8462.09,16,0,16,140,2026,2,7,17,14,24
8522.09,16,0,16,140,2026,2,7,17,15,24
8582.09,16,0,16,139,2026,2,7,17,16,24
8642.09,16,0,16,140,2026,2,7,17,17,24
8702.09,16,0,16,140,2026,2,7,17,18,24
